variant_test_data,cal_test,class,statistic,p_value
_blurred_SD3,dv3T-cal_dv3T-test,1,q25_p,0.314595765084939
_blurred_SD3,dv3T-cal_dv3T-test,1,q75_p,0.7024809619057604
_blurred_SD3,dv3T-cal_dv3T-test,1,prop_sig,0.02
_blurred_SD3,dv3T-cal_dv3T-test,1,binom_p,0.962918790672645
_blurred_SD3,dv3T-cal_dv3T-test,1,fisher_p,0.9282520036347668
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,median_p,6.16184352290453e-67
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,q25_p,1.447418997191135e-75
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,q75_p,1.894572641612972e-62
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,median_p,0.3425461848234745
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,q25_p,0.1160741784275099
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,q75_p,0.6131914919396171
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,prop_sig,0.13
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,binom_p,0.0014643480080344
_blurred_SD4,baseline3T-cal_dv1.5T-test,1,fisher_p,7.219066189279033e-08
_blurred_SD4,baseline3T-cal_dv3T-test,0,median_p,1.4477655421437985e-64
_blurred_SD4,baseline3T-cal_dv3T-test,0,q25_p,2.0681483542353425e-71
_blurred_SD4,baseline3T-cal_dv3T-test,0,q75_p,6.527431742589105e-60
_blurred_SD4,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,median_p,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,q25_p,0.7674428258561068
_blurred_SD4,baseline3T-cal_dv3T-test,1,q75_p,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,prop_sig,0.05
_blurred_SD4,baseline3T-cal_dv3T-test,1,binom_p,0.5640186993142899
_blurred_SD4,baseline3T-cal_dv3T-test,1,fisher_p,0.9999924355203184
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,median_p,0.4976889761543972
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,q25_p,0.3394323594453761
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,q75_p,0.6809325639590109
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,binom_p,1.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.9949824036230632
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,median_p,0.6793185161903744
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,q25_p,0.4225736142057964
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,q75_p,0.8969108309279059
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,binom_p,1.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.9999998340463552
_blurred_SD4,dv3T-cal_dv3T-test,0,median_p,0.488504973744479
_blurred_SD4,dv3T-cal_dv3T-test,0,q25_p,0.3699496277289211
_blurred_SD4,dv3T-cal_dv3T-test,0,q75_p,0.6303700518657375
_blurred_SD4,dv3T-cal_dv3T-test,0,prop_sig,0.01
_blurred_SD4,dv3T-cal_dv3T-test,0,binom_p,0.994079470779666
_blurred_SD4,dv3T-cal_dv3T-test,0,fisher_p,0.9755622381796878
_blurred_SD4,dv3T-cal_dv3T-test,1,median_p,0.5315214325521465
_blurred_SD4,dv3T-cal_dv3T-test,1,q25_p,0.3259076554618716
_blurred_SD4,dv3T-cal_dv3T-test,1,q75_p,0.7205139022900776
_blurred_SD4,dv3T-cal_dv3T-test,1,prop_sig,0.02
_blurred_SD4,dv3T-cal_dv3T-test,1,binom_p,0.962918790672645
_blurred_SD4,dv3T-cal_dv3T-test,1,fisher_p,0.9783017995592282
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,median_p,0.0371586277250097
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,q25_p,0.0157103643430199
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,q75_p,0.0594118607178666
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,prop_sig,0.65
