variant_test_data,cal_test,run,class,n_cov,n_val,coverage,n_cal_cls,n_test_cls,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,34,1,387,1118,0.34615384615384615,301,1118,1.0861094962906902e-71
_blurred_SD1,baseline3T-cal_dv1.5T-test,35,0,13459,15222,0.884180790960452,1505,15222,0.03155384539436534
_blurred_SD1,baseline3T-cal_dv1.5T-test,35,1,454,1118,0.40608228980322003,301,1118,1.9857969219320943e-58
_blurred_SD1,baseline3T-cal_dv1.5T-test,36,0,12592,15222,0.8272237550913152,1591,15222,2.5687024281480446e-15
_blurred_SD1,baseline3T-cal_dv1.5T-test,36,1,415,1118,0.37119856887298747,215,1118,1.1396819858001263e-50
_blurred_SD1,baseline3T-cal_dv1.5T-test,37,0,12810,15308,0.836817350405017,1591,15308,2.5527218262233616e-12
_blurred_SD1,baseline3T-cal_dv1.5T-test,37,1,376,1032,0.3643410852713178,215,1032,3.074112940366914e-51
_blurred_SD1,baseline3T-cal_dv1.5T-test,38,0,13257,15308,0.8660177684870656,1505,15308,6.068010025291364e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,38,1,472,1032,0.4573643410852713,301,1032,9.137197606396308e-48
_blurred_SD1,baseline3T-cal_dv1.5T-test,39,0,13364,15222,0.8779398239390356,1677,15222,0.003433577236066707
_blurred_SD1,baseline3T-cal_dv1.5T-test,39,1,553,1118,0.49463327370304117,129,1118,1.3544678139779782e-21
_blurred_SD1,baseline3T-cal_dv1.5T-test,40,0,12592,15179,0.8295671651623954,1462,15179,1.2919137249203833e-13
_blurred_SD1,baseline3T-cal_dv1.5T-test,40,1,344,1161,0.2962962962962963,344,1161,1.3394075742532835e-94
_blurred_SD1,baseline3T-cal_dv1.5T-test,41,0,13477,15222,0.8853632899750361,1634,15222,0.03734002782635962
_blurred_SD1,baseline3T-cal_dv1.5T-test,41,1,434,1118,0.3881932021466905,172,1118,1.8364269321953507e-39
_blurred_SD1,baseline3T-cal_dv1.5T-test,42,0,13470,15308,0.8799320616671021,1591,15308,0.008969464626230954
_blurred_SD1,baseline3T-cal_dv1.5T-test,42,1,367,1032,0.3556201550387597,215,1032,9.298293281611647e-53
_blurred_SD1,baseline3T-cal_dv1.5T-test,43,0,12658,15222,0.8315595848114571,1591,15222,6.327354422763728e-14
_blurred_SD1,baseline3T-cal_dv1.5T-test,43,1,350,1118,0.31305903398926654,215,1118,1.8085680530960013e-61
_blurred_SD1,baseline3T-cal_dv1.5T-test,44,0,13359,15265,0.8751392073370455,1462,15265,0.0025274755069107447
_blurred_SD1,baseline3T-cal_dv1.5T-test,44,1,335,1075,0.3116279069767442,344,1075,1.531635065085293e-88
_blurred_SD1,baseline3T-cal_dv1.5T-test,45,0,13162,15179,0.8671190460504644,1677,15179,4.2417811929154495e-05
_blurred_SD1,baseline3T-cal_dv1.5T-test,45,1,543,1161,0.46770025839793283,129,1161,5.588890301972983e-24
_blurred_SD1,baseline3T-cal_dv1.5T-test,46,0,12543,15265,0.8216835899115624,1591,15265,3.531987570041066e-17
_blurred_SD1,baseline3T-cal_dv1.5T-test,46,1,468,1075,0.43534883720930234,215,1075,2.981226685356117e-40
_blurred_SD1,baseline3T-cal_dv1.5T-test,47,0,13594,15222,0.8930495335698332,1548,15222,0.19414727277693022
_blurred_SD1,baseline3T-cal_dv1.5T-test,47,1,377,1118,0.3372093023255814,258,1118,4.387734475030129e-66
_blurred_SD1,baseline3T-cal_dv1.5T-test,48,0,12346,15222,0.8110629352253318,1462,15222,1.454293798188072e-19
_blurred_SD1,baseline3T-cal_dv1.5T-test,48,1,388,1118,0.3470483005366726,344,1118,1.4200073304522385e-79
_blurred_SD1,baseline3T-cal_dv1.5T-test,49,0,12029,15093,0.7969919830384946,1505,15093,2.347759451550385e-25
_blurred_SD1,baseline3T-cal_dv1.5T-test,49,1,405,1247,0.3247794707297514,301,1247,1.591787883973836e-78
