class_conditional,variant_test_data,cal_test,class,is_correct,verdict,ps_size,confidence,credibility,margin,actual_class_pred_prob,prop_class1,runs_count
True,blurred_SD3,baseline3T-cal_dv1.5T-test,0,0.7819933766907393,0.11900298122991002,0.5008682639522415,0.9893487190267406,0.09970115306179163,0.08456944447906359,0.8033811300992966,0.06842105263157895,100
True,blurred_SD3,baseline3T-cal_dv1.5T-test,1,0.5212847015172597,0.599483204134367,0.7177280858676207,0.9955998049446916,0.19259794476557482,0.19030093182168695,0.5639597177505493,0.06842105263157895,100
True,blurred_SD3,baseline3T-cal_dv3T-test,0,0.8215664298781995,0.10395227291143344,0.4608121507120966,0.9884725267424092,0.09722222222222222,0.07804681433634789,0.7937118113040924,0.15,100
True,blurred_SD3,baseline3T-cal_dv3T-test,1,0.8094476744186047,0.9125138427464008,0.9125138427464008,0.9986524623765136,0.33217592592592593,0.33123371487064956,0.8543065190315247,0.15,100
True,blurred_SD3,dv1.5T-cal_dv1.5T-test,0,0.7821329549933709,0.8979237797035795,1.7879446121355578,0.7785696155034654,0.6211608004345958,0.4412561706411901,0.8033962100744247,0.06842105263157895,100
True,blurred_SD3,dv1.5T-cal_dv1.5T-test,1,0.5250645994832042,0.8801099847611475,1.4478980322003578,0.918498071396739,0.7597918767763822,0.6518879117811278,0.57749342918396,0.06842105263157895,100
True,blurred_SD3,dv3T-cal_dv3T-test,0,0.8215664298781995,0.8961729635066573,1.1682324308847392,0.9739685203269924,0.5164653313352097,0.4953485210666658,0.7937118113040924,0.15,100
True,blurred_SD3,dv3T-cal_dv3T-test,1,0.8094476744186047,0.8844407530454041,1.1138981173864895,0.9798580056244526,0.519171666363403,0.4936419473357761,0.8543065190315247,0.15,100
True,blurred_SD4,baseline3T-cal_dv1.5T-test,0,0.5791584684320509,0.007125199887404249,0.7055905925633952,0.9911411896455185,0.1337962962962963,0.12414161833141821,0.5585321485996246,0.06842105263157895,100
True,blurred_SD4,baseline3T-cal_dv1.5T-test,1,0.6878354203935599,0.82348960255937,0.8336409499200197,0.9965823650034177,0.22270531400966181,0.21567764402255574,0.7107139229774475,0.06842105263157895,100
True,blurred_SD4,baseline3T-cal_dv3T-test,0,0.6081872554321891,0.005104934770277935,0.720787070912735,0.9907821639815693,0.13269915400222027,0.12176291764037775,0.5708206295967102,0.15,100
True,blurred_SD4,baseline3T-cal_dv3T-test,1,0.9309593023255813,1.0,1.0,0.9974874371859297,0.28358780966396857,0.281962458782002,0.8003180474042892,0.15,100
True,blurred_SD4,dv1.5T-cal_dv1.5T-test,0,0.5800505569218755,0.8948874834270971,1.7550447771193758,0.8265895953757225,0.6212744758274129,0.46699134199134196,0.5588859468698502,0.06842105263157895,100
True,blurred_SD4,dv1.5T-cal_dv1.5T-test,1,0.6913221360895779,0.881484794275492,1.523953488372093,0.8961401836770058,0.6881572212916434,0.5847870772493968,0.7115038484334946,0.06842105263157895,100
True,blurred_SD4,dv3T-cal_dv3T-test,0,0.6081872554321891,0.8979859245463386,1.236004289081675,0.9845559845559846,0.558574120603015,0.5388749302065885,0.5708206295967102,0.15,100
True,blurred_SD4,dv3T-cal_dv3T-test,1,0.9309593023255813,0.8967624259005929,1.274296205630355,0.9447039230546121,0.5051043238129331,0.4420038535645472,0.8003180474042892,0.15,100
True,contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,0.9615359062604099,0.7895151754040205,0.8493148428750247,0.9961389961389961,0.44953544351843144,0.44584253687110065,0.9987253099679947,0.06842105263157895,100
True,contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,0.26155038759689925,0.3044788975021533,0.8425495262704565,0.9961389961389961,0.31829854973043803,0.31631091527928024,0.016762424260377884,0.06842105263157895,100
True,contrast_adapthisteq,baseline3T-cal_dv3T-test,0,0.9617535045782352,0.7444629014396456,0.8132530120481928,0.9961389961389961,0.30275805633672953,0.29813418946584774,0.9967685490846634,0.15,100
True,contrast_adapthisteq,baseline3T-cal_dv3T-test,1,0.9751937984496124,0.99087656529517,0.99087656529517,0.9993544222078761,0.6310011239563262,0.6303812432070139,0.9875081181526184,0.15,100
True,contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,0.9617119338653486,0.8977519269434222,1.7388571565268274,0.7977399213389177,0.6406814158994805,0.4671171998711814,0.9987293481826782,0.06842105263157895,100
True,contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,0.26501937984496127,0.886312292358804,1.5226895854398381,0.8843930635838151,0.7368698623173672,0.6163360529400032,0.017936830408871174,0.06842105263157895,100
True,contrast_adapthisteq,dv3T-cal_dv3T-test,0,0.9617535045782352,0.8970134383125562,0.9031686444182865,0.9961389961389961,0.49099727431157375,0.48549549132634706,0.9967685490846634,0.15,100
True,contrast_adapthisteq,dv3T-cal_dv3T-test,1,0.9751937984496124,0.8893638850889193,0.8946220930232558,0.9993544222078761,0.4722222222222222,0.47159408151870463,0.9875081181526184,0.15,100
True,contrast_histeq,baseline3T-cal_dv1.5T-test,0,0.5369533890874068,0.17084741535896136,0.7324071900664177,0.9953703703703703,0.18496616548879857,0.17585241789065925,0.5731842070817947,0.06842105263157895,100
True,contrast_histeq,baseline3T-cal_dv1.5T-test,1,0.5871099185052673,0.6756940303451932,0.7990459153249851,0.9966799468791501,0.23490868330957515,0.2303628807600977,0.6620518565177917,0.06842105263157895,100
True,contrast_histeq,baseline3T-cal_dv3T-test,0,0.34911243567194317,0.06492124308216263,0.8007972074154441,0.996859296482412,0.26382541182305186,0.2586554442740635,0.25238611549139023,0.15,100
True,contrast_histeq,baseline3T-cal_dv3T-test,1,1.0,1.0,1.0,0.9993544222078761,0.8110345444782532,0.8103797502701062,0.9972511827945709,0.15,100
True,contrast_histeq,dv1.5T-cal_dv1.5T-test,0,0.5372387447233703,0.8972387375817121,1.7304203359463475,0.7898750921479603,0.7519230769230769,0.5463463830567526,0.5730731785297394,0.06842105263157895,100
True,contrast_histeq,dv1.5T-cal_dv1.5T-test,1,0.5882241014799154,0.8767275747508305,1.7646511627906978,0.7954545454545454,0.7530976322318353,0.5514518471490459,0.6615877598524094,0.06842105263157895,100
True,contrast_histeq,dv3T-cal_dv3T-test,0,0.34911243567194317,0.8986236695472289,0.9584138144170594,0.9961389961389961,0.5022222995958021,0.4972159518312653,0.25238611549139023,0.15,100
True,contrast_histeq,dv3T-cal_dv3T-test,1,1.0,0.8876661129568106,0.9574575134168157,0.9942831934237661,0.4864864864864865,0.47938513077312306,0.9972511827945709,0.15,100
True,contrast_imadjust,baseline3T-cal_dv1.5T-test,0,0.9783445772675268,0.8560084162632736,0.893523258977706,0.9961389961389961,0.6165338645418327,0.613222606263687,0.9995267391204834,0.06842105263157895,100
True,contrast_imadjust,baseline3T-cal_dv1.5T-test,1,0.3336314847942755,0.35761611343006694,0.8692440204068111,0.9961389961389961,0.4332694080409075,0.4307199953791033,0.021065156906843185,0.06842105263157895,100
True,contrast_imadjust,baseline3T-cal_dv3T-test,0,0.9567533508993011,0.8135382059800664,0.876688473743541,0.9961389961389961,0.5791634684503576,0.5746176659008801,0.9994087219238281,0.15,100
