variant_test_data,cal_test,statistic,p_value
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,median_p,3.537342277921346e-13
_contrast_adapthisteq,baseline3T-cal_dv3T-test,q25_p,8.377819262029762e-27
_contrast_adapthisteq,baseline3T-cal_dv3T-test,q75_p,7.102482377436367e-06
_contrast_adapthisteq,baseline3T-cal_dv3T-test,prop_sig,0.86
_contrast_adapthisteq,baseline3T-cal_dv3T-test,binom_p,2.808898892254044e-96
_contrast_adapthisteq,baseline3T-cal_dv3T-test,fisher_p,0.0
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,median_p,0.3131444624827434
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,q25_p,5.380185083341793e-06
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,q75_p,0.9999801457922792
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,prop_sig,0.44
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,binom_p,1.6985333335100332e-30
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,fisher_p,0.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,median_p,0.3059685451647633
_contrast_adapthisteq,dv3T-cal_dv3T-test,q25_p,0.0237399891321234
_contrast_adapthisteq,dv3T-cal_dv3T-test,q75_p,0.9889047023675874
_contrast_adapthisteq,dv3T-cal_dv3T-test,prop_sig,0.3
_contrast_adapthisteq,dv3T-cal_dv3T-test,binom_p,8.556384800197208e-16
_contrast_adapthisteq,dv3T-cal_dv3T-test,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,median_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,q25_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,q75_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,prop_sig,1.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,binom_p,7.888609052210162e-131
_contrast_histeq,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,median_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,q25_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,q75_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,prop_sig,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,binom_p,7.888609052210162e-131
_contrast_histeq,baseline3T-cal_dv3T-test,fisher_p,0.0
_contrast_histeq,dv1.5T-cal_dv1.5T-test,median_p,0.2743600000350951
_contrast_histeq,dv1.5T-cal_dv1.5T-test,q25_p,0.0008970480887839
_contrast_histeq,dv1.5T-cal_dv1.5T-test,q75_p,0.9807667701208336
_contrast_histeq,dv1.5T-cal_dv1.5T-test,prop_sig,0.4
_contrast_histeq,dv1.5T-cal_dv1.5T-test,binom_p,6.238625307670539e-26
_contrast_histeq,dv1.5T-cal_dv1.5T-test,fisher_p,0.0
_contrast_histeq,dv3T-cal_dv3T-test,median_p,0.5927472723776027
_contrast_histeq,dv3T-cal_dv3T-test,q25_p,0.0058523827905142
_contrast_histeq,dv3T-cal_dv3T-test,q75_p,0.9876494985303044
_contrast_histeq,dv3T-cal_dv3T-test,prop_sig,0.33
_contrast_histeq,dv3T-cal_dv3T-test,binom_p,1.2307459685883105e-18
_contrast_histeq,dv3T-cal_dv3T-test,fisher_p,0.0
_contrast_imadjust,baseline3T-cal_dv1.5T-test,median_p,9.644917709489241e-08
_contrast_imadjust,baseline3T-cal_dv1.5T-test,q25_p,1.179497672109716e-12
_contrast_imadjust,baseline3T-cal_dv1.5T-test,q75_p,0.0009499695152457
_contrast_imadjust,baseline3T-cal_dv1.5T-test,prop_sig,0.88
_contrast_imadjust,baseline3T-cal_dv1.5T-test,binom_p,1.847131870217644e-100
_contrast_imadjust,baseline3T-cal_dv1.5T-test,fisher_p,0.0
_contrast_imadjust,baseline3T-cal_dv3T-test,median_p,1.3246133236972643e-08
_contrast_imadjust,baseline3T-cal_dv3T-test,q25_p,9.680965406261921e-17
_contrast_imadjust,baseline3T-cal_dv3T-test,q75_p,0.0034880175266555
_contrast_imadjust,baseline3T-cal_dv3T-test,prop_sig,0.81
_contrast_imadjust,baseline3T-cal_dv3T-test,binom_p,2.0909312137712884e-86
_contrast_imadjust,baseline3T-cal_dv3T-test,fisher_p,0.0
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,median_p,0.1816476988509038
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,q25_p,2.824270973034421e-05
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,q75_p,0.999992192338235
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,prop_sig,0.41
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,binom_p,4.789204721185276e-27
_contrast_imadjust,dv1.5T-cal_dv1.5T-test,fisher_p,0.0
_contrast_imadjust,dv3T-cal_dv3T-test,median_p,0.3359917934866385
_contrast_imadjust,dv3T-cal_dv3T-test,q25_p,0.0017945268969938
_contrast_imadjust,dv3T-cal_dv3T-test,q75_p,0.980167069238986
_contrast_imadjust,dv3T-cal_dv3T-test,prop_sig,0.37
_contrast_imadjust,dv3T-cal_dv3T-test,binom_p,1.0764600283749784e-22
_contrast_imadjust,dv3T-cal_dv3T-test,fisher_p,0.0
baseline,baseline3T-cal_dv1.5T-test,median_p,0.5301157538905469
baseline,baseline3T-cal_dv1.5T-test,q25_p,0.0609984942840167
baseline,baseline3T-cal_dv1.5T-test,q75_p,0.9827792106083306
baseline,baseline3T-cal_dv1.5T-test,prop_sig,0.23
baseline,baseline3T-cal_dv1.5T-test,binom_p,6.85555143892384e-10
baseline,baseline3T-cal_dv1.5T-test,fisher_p,0.0
baseline,baseline3T-cal_dv3T-test,median_p,0.0665616929818387
baseline,baseline3T-cal_dv3T-test,q25_p,6.6668363809900186e-06
baseline,baseline3T-cal_dv3T-test,q75_p,0.9086164528324618
baseline,baseline3T-cal_dv3T-test,prop_sig,0.47
baseline,baseline3T-cal_dv3T-test,binom_p,4.200403202565829e-34
baseline,baseline3T-cal_dv3T-test,fisher_p,0.0
baseline,dv1.5T-cal_dv1.5T-test,median_p,0.4178331339366616
baseline,dv1.5T-cal_dv1.5T-test,q25_p,0.0002463710638614
baseline,dv1.5T-cal_dv1.5T-test,q75_p,0.9999979959482944
baseline,dv1.5T-cal_dv1.5T-test,prop_sig,0.41
baseline,dv1.5T-cal_dv1.5T-test,binom_p,4.789204721185276e-27
baseline,dv1.5T-cal_dv1.5T-test,fisher_p,0.0
baseline,dv3T-cal_dv3T-test,median_p,0.0665616929818387
baseline,dv3T-cal_dv3T-test,q25_p,6.6668363809900186e-06
baseline,dv3T-cal_dv3T-test,q75_p,0.9086164528324618
baseline,dv3T-cal_dv3T-test,prop_sig,0.47
baseline,dv3T-cal_dv3T-test,binom_p,4.200403202565829e-34
baseline,dv3T-cal_dv3T-test,fisher_p,0.0
