variant_test_data,cal_test,class,statistic,p_value
_blurred_SD4,baseline3T-cal_dv3T-test,0,median_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,q25_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,q75_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_blurred_SD4,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,median_p,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,q25_p,0.9998845056417311
_blurred_SD4,baseline3T-cal_dv3T-test,1,q75_p,1.0
_blurred_SD4,baseline3T-cal_dv3T-test,1,prop_sig,0.21
_blurred_SD4,baseline3T-cal_dv3T-test,1,binom_p,2.0810607711067183e-08
_blurred_SD4,baseline3T-cal_dv3T-test,1,fisher_p,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,median_p,0.2585918543626861
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,q25_p,0.0039703094925735
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,q75_p,0.9923545510312458
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.38
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,binom_p,9.356496953871759e-24
_blurred_SD4,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.0
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,median_p,0.2438586954074529
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,q25_p,2.160866343421441e-05
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,q75_p,0.9928378205030248
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.44
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,binom_p,1.6985333335100332e-30
_blurred_SD4,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.0
_blurred_SD4,dv3T-cal_dv3T-test,0,median_p,0.4177643301531464
_blurred_SD4,dv3T-cal_dv3T-test,0,q25_p,0.0075606256264569
_blurred_SD4,dv3T-cal_dv3T-test,0,q75_p,0.962965429435056
_blurred_SD4,dv3T-cal_dv3T-test,0,prop_sig,0.28
_blurred_SD4,dv3T-cal_dv3T-test,0,binom_p,5.3271545045797865e-14
_blurred_SD4,dv3T-cal_dv3T-test,0,fisher_p,0.0
_blurred_SD4,dv3T-cal_dv3T-test,1,median_p,0.4854576423211234
_blurred_SD4,dv3T-cal_dv3T-test,1,q25_p,0.0021997617033604
_blurred_SD4,dv3T-cal_dv3T-test,1,q75_p,0.9548015740676168
_blurred_SD4,dv3T-cal_dv3T-test,1,prop_sig,0.38
_blurred_SD4,dv3T-cal_dv3T-test,1,binom_p,9.356496953871759e-24
_blurred_SD4,dv3T-cal_dv3T-test,1,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,median_p,8.500832674965283e-29
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,q25_p,9.00384783095713e-43
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,q75_p,1.5759049449375253e-23
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,median_p,1.4146786277679584e-67
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,q25_p,3.3215715839899744e-87
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,q75_p,2.5991453829958937e-59
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,prop_sig,1.0
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,binom_p,7.888609052210162e-131
_contrast_adapthisteq,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,median_p,7.234814254363544e-41
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,q25_p,6.7351192164046875e-62
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,q75_p,4.1023444940714936e-31
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_contrast_adapthisteq,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,median_p,0.9999999998435458
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,q25_p,0.9999997092575208
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,q75_p,1.0
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,prop_sig,0.01
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,binom_p,0.994079470779666
_contrast_adapthisteq,baseline3T-cal_dv3T-test,1,fisher_p,1.0
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,median_p,0.3855114394475788
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,q25_p,0.0060283941518355
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,q75_p,0.9132428397246496
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.33
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,binom_p,1.2307459685883105e-18
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.0
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,median_p,0.3388412582221876
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,q25_p,0.0003324617764145
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,q75_p,0.975127800103216
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.38
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,binom_p,9.356496953871759e-24
_contrast_adapthisteq,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,median_p,0.3816803360654517
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,q25_p,0.0200779155225219
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,q75_p,0.9709807319182224
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,prop_sig,0.34
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,binom_p,1.2702149390600738e-19
_contrast_adapthisteq,dv3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,median_p,0.3491803123555907
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,q25_p,0.0247998793505447
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,q75_p,0.9179881967442626
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,prop_sig,0.29
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,binom_p,6.913335547011718e-15
_contrast_adapthisteq,dv3T-cal_dv3T-test,1,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,median_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,q25_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,q75_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,prop_sig,1.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,binom_p,7.888609052210162e-131
_contrast_histeq,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,median_p,3.883525282865488e-14
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,q25_p,5.384770821347347e-25
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,q75_p,1.5508420686901028e-08
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,prop_sig,0.99
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,binom_p,1.499624580825152e-127
_contrast_histeq,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,0,median_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,0,q25_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,0,q75_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,0,prop_sig,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,0,binom_p,7.888609052210162e-131
_contrast_histeq,baseline3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,median_p,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,q25_p,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,q75_p,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,prop_sig,0.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,binom_p,1.0
_contrast_histeq,baseline3T-cal_dv3T-test,1,fisher_p,1.0
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,median_p,0.3818832482477436
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,q25_p,0.0002109234985081
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,q75_p,0.9946550734804528
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,prop_sig,0.39
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,binom_p,7.7998882275203905e-25
_contrast_histeq,dv1.5T-cal_dv1.5T-test,0,fisher_p,0.0
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,median_p,0.2062420587384888
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,q25_p,0.0003178495816837
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,q75_p,0.9707275581872004
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,prop_sig,0.41
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,binom_p,4.789204721185276e-27
_contrast_histeq,dv1.5T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_histeq,dv3T-cal_dv3T-test,0,median_p,0.4407159907488727
_contrast_histeq,dv3T-cal_dv3T-test,0,q25_p,0.0070104099543006
_contrast_histeq,dv3T-cal_dv3T-test,0,q75_p,0.9874987782885872
_contrast_histeq,dv3T-cal_dv3T-test,0,prop_sig,0.33
_contrast_histeq,dv3T-cal_dv3T-test,0,binom_p,1.2307459685883105e-18
_contrast_histeq,dv3T-cal_dv3T-test,0,fisher_p,0.0
_contrast_histeq,dv3T-cal_dv3T-test,1,median_p,0.3165798934478677
_contrast_histeq,dv3T-cal_dv3T-test,1,q25_p,0.0005254282446529
_contrast_histeq,dv3T-cal_dv3T-test,1,q75_p,0.97489385075766
_contrast_histeq,dv3T-cal_dv3T-test,1,prop_sig,0.4
_contrast_histeq,dv3T-cal_dv3T-test,1,binom_p,6.238625307670539e-26
_contrast_histeq,dv3T-cal_dv3T-test,1,fisher_p,0.0
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,median_p,4.7366826537960966e-07
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,q25_p,2.0420567663899235e-12
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,q75_p,5.427057437177582e-05
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,prop_sig,0.97
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,binom_p,8.763370212580659e-122
_contrast_imadjust,baseline3T-cal_dv1.5T-test,0,fisher_p,0.0
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,median_p,1.7933502198188812e-57
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,q25_p,1.7720371850791993e-71
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,q75_p,1.5655027654119675e-48
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,prop_sig,1.0
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,binom_p,7.888609052210162e-131
_contrast_imadjust,baseline3T-cal_dv1.5T-test,1,fisher_p,0.0
_contrast_imadjust,baseline3T-cal_dv3T-test,0,median_p,3.09474356670227e-16
