variant_test_data,cal_test,run,n_cov,n_val,coverage,p_value
_blurred_SD1,baseline3T-cal_dv3T-test,52,3666,4300,0.8525581395348837,1.8226977364735568e-07
_blurred_SD1,baseline3T-cal_dv3T-test,53,3785,4300,0.8802325581395349,0.012791916414984004
_blurred_SD1,baseline3T-cal_dv3T-test,54,3602,4300,0.8376744186046512,3.63909833254216e-11
_blurred_SD1,baseline3T-cal_dv3T-test,55,3388,4300,0.7879069767441861,5.70547948890892e-28
_blurred_SD1,baseline3T-cal_dv3T-test,56,3623,4300,0.8425581395348837,7.0971917666251e-10
_blurred_SD1,baseline3T-cal_dv3T-test,57,3803,4300,0.8844186046511628,0.03806831217500351
_blurred_SD1,baseline3T-cal_dv3T-test,58,3691,4300,0.8583720930232558,3.238648609973226e-06
_blurred_SD1,baseline3T-cal_dv3T-test,59,4043,4300,0.9402325581395349,0.9999999707278122
_blurred_SD1,baseline3T-cal_dv3T-test,60,3558,4300,0.8274418604651163,4.280878193581823e-14
_blurred_SD1,baseline3T-cal_dv3T-test,61,3422,4300,0.7958139534883721,6.75961324777312e-25
_blurred_SD1,baseline3T-cal_dv3T-test,62,3683,4300,0.8565116279069768,1.3275065513038326e-06
_blurred_SD1,baseline3T-cal_dv3T-test,63,3731,4300,0.8676744186046511,0.00018290418681252837
_blurred_SD1,baseline3T-cal_dv3T-test,64,3730,4300,0.8674418604651163,0.00016683717661073063
_blurred_SD1,baseline3T-cal_dv3T-test,65,3375,4300,0.7848837209302325,3.5037148470734356e-29
_blurred_SD1,baseline3T-cal_dv3T-test,66,3679,4300,0.8555813953488373,8.412086062135817e-07
_blurred_SD1,baseline3T-cal_dv3T-test,67,3632,4300,0.8446511627906976,2.4081632976550765e-09
_blurred_SD1,baseline3T-cal_dv3T-test,68,3994,4300,0.9288372093023256,0.9999076055113999
_blurred_SD1,baseline3T-cal_dv3T-test,69,3588,4300,0.8344186046511628,4.586560666925146e-12
_blurred_SD1,baseline3T-cal_dv3T-test,70,3466,4300,0.806046511627907,3.933711860911082e-21
_blurred_SD1,baseline3T-cal_dv3T-test,71,3466,4300,0.806046511627907,3.933711860911082e-21
_blurred_SD1,baseline3T-cal_dv3T-test,72,3637,4300,0.8458139534883721,4.683405604543865e-09
_blurred_SD1,baseline3T-cal_dv3T-test,73,4022,4300,0.9353488372093023,0.9999985854535386
_blurred_SD1,baseline3T-cal_dv3T-test,74,3649,4300,0.8486046511627907,2.2202066004894957e-08
_blurred_SD1,baseline3T-cal_dv3T-test,75,3921,4300,0.911860465116279,0.9289863953787254
_blurred_SD1,baseline3T-cal_dv3T-test,76,3470,4300,0.8069767441860465,8.409195684985371e-21
_blurred_SD1,baseline3T-cal_dv3T-test,77,3695,4300,0.8593023255813953,5.00625137376008e-06
