variant_test_data,cal_test,run,n_cov,n_val,coverage,p_value
_blurred_SD1,baseline3T-cal_dv1.5T-test,65,13670,16340,0.8365973072215422,0.16212235880155765
_blurred_SD1,baseline3T-cal_dv1.5T-test,66,14273,16340,0.8735006119951041,0.3730841830520129
_blurred_SD1,baseline3T-cal_dv1.5T-test,67,14262,16340,0.8728274173806609,0.3681861343317807
_blurred_SD1,baseline3T-cal_dv1.5T-test,68,14900,16340,0.9118727050183598,0.6897761790406817
_blurred_SD1,baseline3T-cal_dv1.5T-test,69,13893,16340,0.8502447980416157,0.2262216505818468
_blurred_SD1,baseline3T-cal_dv1.5T-test,70,13851,16340,0.8476744186046512,0.21291948273029182
_blurred_SD1,baseline3T-cal_dv1.5T-test,71,13841,16340,0.847062423500612,0.20983804829031316
_blurred_SD1,baseline3T-cal_dv1.5T-test,72,14219,16340,0.8701958384332925,0.3493865807871665
_blurred_SD1,baseline3T-cal_dv1.5T-test,73,15166,16340,0.9281517747858017,0.8184782994112119
_blurred_SD1,baseline3T-cal_dv1.5T-test,74,14265,16340,0.8730110159118727,0.3695184277333149
_blurred_SD1,baseline3T-cal_dv1.5T-test,75,14877,16340,0.9104651162790698,0.6778625032397682
_blurred_SD1,baseline3T-cal_dv1.5T-test,76,13842,16340,0.847123623011016,0.21014471423474662
_blurred_SD1,baseline3T-cal_dv1.5T-test,77,14187,16340,0.8682374541003672,0.335764208018536
_blurred_SD1,baseline3T-cal_dv1.5T-test,78,14746,16340,0.9024479804161567,0.6090777352256301
_blurred_SD1,baseline3T-cal_dv1.5T-test,79,14457,16340,0.8847613219094247,0.4598918050532073
_blurred_SD1,baseline3T-cal_dv1.5T-test,80,13450,16340,0.8231334149326806,0.11364614197693093
_blurred_SD1,baseline3T-cal_dv1.5T-test,81,14115,16340,0.8638310893512852,0.30630132256156084
_blurred_SD1,baseline3T-cal_dv1.5T-test,82,14867,16340,0.9098531211750306,0.6726607722106727
_blurred_SD1,baseline3T-cal_dv1.5T-test,83,13932,16340,0.8526315789473684,0.2390980337610904
_blurred_SD1,baseline3T-cal_dv1.5T-test,84,14980,16340,0.9167686658506732,0.7305081510138117
_blurred_SD1,baseline3T-cal_dv1.5T-test,85,14463,16340,0.8851285189718482,0.46286121706137334
_blurred_SD1,baseline3T-cal_dv1.5T-test,86,14638,16340,0.8958384332925337,0.5522602444547251
_blurred_SD1,baseline3T-cal_dv1.5T-test,87,13953,16340,0.8539167686658506,0.2462417587393852
_blurred_SD1,baseline3T-cal_dv1.5T-test,88,14554,16340,0.8906976744186047,0.5087552000457374
_blurred_SD1,baseline3T-cal_dv1.5T-test,89,14325,16340,0.8766829865361077,0.396711159028598
_blurred_SD1,baseline3T-cal_dv1.5T-test,90,14436,16340,0.8834761321909425,0.44956042481174613
_blurred_SD1,baseline3T-cal_dv1.5T-test,91,14260,16340,0.8727050183598531,0.36729941935172145
_blurred_SD1,baseline3T-cal_dv1.5T-test,92,14596,16340,0.8932680538555692,0.5303979357214881
_blurred_SD1,baseline3T-cal_dv1.5T-test,93,13421,16340,0.8213586291309669,0.10824166489287436
_blurred_SD1,baseline3T-cal_dv1.5T-test,94,14795,16340,0.9054467564259486,0.6349216340820142
_blurred_SD1,baseline3T-cal_dv1.5T-test,95,14096,16340,0.8626682986536107,0.2988065306635624
_blurred_SD1,baseline3T-cal_dv1.5T-test,96,13943,16340,0.8533047735618116,0.2428215927027219
_blurred_SD1,baseline3T-cal_dv1.5T-test,97,14883,16340,0.9108323133414933,0.6809774581104637
_blurred_SD1,baseline3T-cal_dv1.5T-test,98,13654,16340,0.8356181150550795,0.1581250374743533
_blurred_SD1,baseline3T-cal_dv1.5T-test,99,13935,16340,0.8528151774785802,0.240109539082152
_blurred_SD1,baseline3T-cal_dv3T-test,0,3757,4300,0.8737209302325581,0.37558639965310514
_blurred_SD1,baseline3T-cal_dv3T-test,1,3937,4300,0.9155813953488372,0.720490749021377
_blurred_SD1,baseline3T-cal_dv3T-test,2,3693,4300,0.8588372093023255,0.2760242807064389
_blurred_SD1,baseline3T-cal_dv3T-test,3,3817,4300,0.8876744186046511,0.4842337509662848
_blurred_SD1,baseline3T-cal_dv3T-test,4,3505,4300,0.8151162790697675,0.09175534529581128
